AOP,Endpoint(s),Relevant,Rationale
77,Tox21_MMP_ratio_down,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
77,NVS_MP_hPBR,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
77,APR_hepato_mitofxnl,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
78,Tox21_MMP_ratio_down,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
78,NVS_MP_hPBR,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
78,APR_hepato_mitofxnl,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
79,Tox21_MMP_ratio_down,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
79,NVS_MP_hPBR,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
79,APR_hepato_mitofxnl,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
80,Tox21_MMP_ratio_down,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
80,NVS_MP_hPBR,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
80,APR_hepato_mitofxnl,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
87,Tox21_MMP_ratio_down,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
87,NVS_MP_hPBR,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
87,APR_hepato_mitofxnl,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
100,NVS_ENZ_oCOX2,Yes,The ToxCast assay is relevant to the MIE of this AOP. The adverse outcome is ecologically relevant.
101,NVS_ENZ_oCOX2,Yes,The ToxCast assay is relevant to the MIE of this AOP. The adverse outcome is ecologically relevant.
102,NVS_ENZ_oCOX2,Yes,The ToxCast assay is relevant to the MIE of this AOP. The adverse outcome is ecologically relevant.
103,NVS_ENZ_oCOX2,Yes,The ToxCast assay is relevant to the MIE of this AOP. The adverse outcome is ecologically relevant.
111,NVS_NR_hAR,NO,"The ToxCast assay cannot distinguish agonism from antagonism, therefore there is still uncertainty regarding activation of the MIE. Likewise, cancer outcomes are rarely considered in ecological risk assessments."
112,OT_Era_EREGFP_0120,NO,"The ToxCast assays are relevant to the key event of increased estrogen receptor activity. However, cancer outcomes are rarely considered in ecological risk assessments."
112,ATG_Era_TRANS_up,NO,"The ToxCast assays are relevant to the key event of increased estrogen receptor activity. However, cancer outcomes are rarely considered in ecological risk assessments."
130,Tox21_MMP_ratio_down,NO,"The adverse outcome of this AOP, liver fibrosis, would generally not be considered relevant to ecological risk without additional linkage to impacts on survival, growth, or reproduction."
130,NVS_MP_hPBR,NO,"The adverse outcome of this AOP, liver fibrosis, would generally not be considered relevant to ecological risk without additional linkage to impacts on survival, growth, or reproduction."
130,APR_hepato_mitofxnl,NO,"The adverse outcome of this AOP, liver fibrosis, would generally not be considered relevant to ecological risk without additional linkage to impacts on survival, growth, or reproduction."
144,Tox21_MMP_ratio_down,NO,"The adverse outcome of this AOP, liver inflammation, would generally not be considered relevant to ecological risk without additional linkage to impacts on survival, growth, or reproduction."
144,NVS_MP_hPBR,NO,"The adverse outcome of this AOP, liver inflammation, would generally not be considered relevant to ecological risk without additional linkage to impacts on survival, growth, or reproduction."
144,APR_hepato_mitofxnl,NO,"The adverse outcome of this AOP, liver inflammation, would generally not be considered relevant to ecological risk without additional linkage to impacts on survival, growth, or reproduction."
165,NVS_NR_mERa,NO,"The ToxCast assay cannot distinguish agonism from antagonism, therefore there is still uncertainty regarding activation of the MIE. Likewise, cancer outcomes are rarely considered in ecological risk assessments."
165,NVS_NR_hER,NO,"The ToxCast assay cannot distinguish agonism from antagonism, therefore there is still uncertainty regarding activation of the MIE. Likewise, cancer outcomes are rarely considered in ecological risk assessments."
167,OT_Era_EREGFP_0120,NO,"The ToxCast assays are relevant to the key event of increased estrogen receptor activity. However, cancer outcomes are rarely considered in ecological risk assessments."
167,ATG_Era_TRANS_up,NO,"The ToxCast assays are relevant to the key event of increased estrogen receptor activity. However, cancer outcomes are rarely considered in ecological risk assessments."
178,Tox21_MMP_ratio_down,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
178,NVS_MP_hPBR,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
178,APR_hepato_mitofxnl,Maybe,The ToxCast endpoints relate to mitochondrial function or cholesterol transport into mitochondria are related to a key event early in this AOP. The adverse outcome is of ecological significance. Ultimate relevance depends on whether the target site of exposure includes the central nervous system and whether the exposed taxa have a sufficiently analogous life history.
187,Tox21_MMP_ratio_down,Maybe,"The ToxCast endpoints relate to the ability of mitochondria to produce ATP.  However, the KER linking this MIE to downstream events in the AOP which would be ecologically relevant is missing."
187,NVS_MP_hPBR,Maybe,"The ToxCast endpoints relate to the ability of mitochondria to produce ATP.  However, the KER linking this MIE to downstream events in the AOP which would be ecologically relevant is missing."
187,APR_hepato_mitofxnl,Maybe,"The ToxCast endpoints relate to the ability of mitochondria to produce ATP.  However, the KER linking this MIE to downstream events in the AOP which would be ecologically relevant is missing."
200,OT_Era_EREGFP_0120,NO,The adverse outcome of breast cancer is not relevant to ecological risk assessment.
200,NVS_MP_hPBR,NO,The adverse outcome of breast cancer is not relevant to ecological risk assessment.
200,ATG_Era_TRANS_up,NO,The adverse outcome of breast cancer is not relevant to ecological risk assessment.
205,Tox21_MMP_ratio_down,Yes,The ToxCast assay results are indicative of potential mitochondrial dysfunction. Inhibition of mitochondrial dysfunction can plausibly lead to death due to systemic apoptosis and necrosis. Death is an ecologically-relevant outcome.
205,NVS_MP_hPBR,Yes,The ToxCast assay results are indicative of potential mitochondrial dysfunction. Inhibition of mitochondrial dysfunction can plausibly lead to death due to systemic apoptosis and necrosis. Death is an ecologically-relevant outcome.
205,APR_hepato_mitofxnl,Yes,The ToxCast assay results are indicative of potential mitochondrial dysfunction. Inhibition of mitochondrial dysfunction can plausibly lead to death due to systemic apoptosis and necrosis. Death is an ecologically-relevant outcome.
207,Tox21_MMP_ratio_down,Yes,"The ToxCast assay results are indicative of potential mitochondrial dysfunction/damage, a key event in the AOP."
207,NVS_MP_hPBR,Yes,"The ToxCast assay results are indicative of potential mitochondrial dysfunction/damage, a key event in the AOP."
207,APR_hepato_mitofxnl,Yes,"The ToxCast assay results are indicative of potential mitochondrial dysfunction/damage, a key event in the AOP."
209,NCCT_HEK293T_CellTiterGlo,NO,"The ToxCast assay response pertains to cytotoxicity in kidney cells, or cytotoxicity in general.  However, the AOP is specific to liver cell death.  Unless there is reason to expect liver-specific tissue distribution, this AOP is unlikely to be relevant for ecological risk assessment."
212,NCCT_HEK293T_CellTiterGlo,Maybe,"The ToxCast assay response pertains to cytotoxicity in kidney cells, or cytotoxicity in general.  The AOP is specific to testicular cell death.  The AOP could be relevant if there was reason to expect gonad-specific tissue distribution, as testicular damage would plausibly be relevant to reproductive capability."
214,,No,"The adverse outcomes considered in this SSRI-related AOP network including increased seizure, agitation, depression, and hypertension are generally not considered relevant for ecological risk assessment."
216,NCCT_HEK293T_CellTiterGlo,Maybe,"The ToxCast assay response pertains to cytotoxicity in kidney cells, or cytotoxicity in general.  The AOP is specific to ovarian follicular cell death.  The AOP could be relevant if there was reason to expect gonad-specific tissue distribution, as ovarian follicle damage would plausibly be relevant to fertility."
217,NVS_ENZ_oCOX2,NO,The adverse outcome of gastric ulcer formation would generally not be considered in ecological risk assessments.
238,Tox21_MMP_ratio_down,Maybe,"The ToxCast assay results are indicative of potential mitochondrial dysfunction/damage, a key event in the AOP. The AOP could be relevant if there was reason to expect gonad-specific tissue distribution, as ovarian follicle damage would plausibly be relevant to fertility."
238,NVS_MP_hPBR,Maybe,"The ToxCast assay results are indicative of potential mitochondrial dysfunction/damage, a key event in the AOP. The AOP could be relevant if there was reason to expect gonad-specific tissue distribution, as ovarian follicle damage would plausibly be relevant to fertility."
238,APR_hepato_mitofxnl,Maybe,"The ToxCast assay results are indicative of potential mitochondrial dysfunction/damage, a key event in the AOP. The AOP could be relevant if there was reason to expect gonad-specific tissue distribution, as ovarian follicle damage would plausibly be relevant to fertility."
